ID;TrapType;Date;Date_Num;Time_Start;Time_End;Hours_sampling;Family;Species;Count;Comment
1;Control;20240717;199;12:30;22:30;10;Simuliidae;S_vittatum;1;
2;Control;20240717;199;12:30;22:30;10;Culicidae;Oc_impiger;4;
3;Control;20240716;198;12:30;22:30;10;Culicidae;Oc_impiger;3;
4;Control;20240716;198;12:30;22:30;10;Culicidae;Oc_nigripes;1;
5;Control;20240716;198;12:30;22:30;10;Simuliidae;S_vittatum;14;
6;Lure;20240716;198;12:30;22:30;10;Simuliidae;S_vittatum;1;
7;Lure;20240716;198;12:30;22:30;10;Culicidae;Oc_impiger;5;
8;Lure;20240716;198;12:30;22:30;10;Culicidae;Oc_nigripes;3;
9;CO2;20240717;199;12:30;22:30;10;Simuliidae;S_vittatum;7;
10;CO2;20240717;199;12:30;22:30;10;Culicidae;Oc_impiger;39;
11;Lure;20240717;199;NA;NA;NA;NA;NA;NA;Powerbank_failure
12;Control;20240801;214;13:00;22:00;9;Culicidae;Oc_nigripes;1;
13;Control;20240801;214;13:00;22:00;9;Simuliidae;S_vittatum;4;
14;Lure+CO2;20240717;199;12:30;22:30;10;Culicidae;Oc_nigripes;3;
15;Lure+CO2;20240717;199;12:30;22:30;10;Simuliidae;S_vittatum;40;
16;Lure+CO2;20240717;199;12:30;22:30;10;Culicidae;Oc_impiger;157;
17;Lure+CO2;20240821;234;11:15;21:45;10.5;Simuliidae;S_rostratum;9;
18;Control;20240821;234;11:15;21:45;10.5;Simuliidae;S_rostratum;13;
19;Lure;20240807;220;NA;NA;10;Culicidae;Oc_nigripes;1;Likely number of hours
20;Lure;20240807;220;NA;NA;10;Culicidae;Oc_impiger;2;Likely number of hours
21;Lure;20240807;220;NA;NA;10;Simuliidae;S_vittatum;16;Likely number of hours
22;Lure;20240807;220;NA;NA;10;Simuliidae;S_rostratum;2;Likely number of hours
23;Control;20240807;220;NA;NA;10;Simuliidae;S_vittatum;8;Likely number of hours
24;CO2;20240807;220;NA;NA;10;Simuliidae;S_vittatum;35;Likely number of hours
25;CO2;20240807;220;NA;NA;10;Simuliidae;S_rostratum;13;Likely number of hours
26;CO2;20240807;220;NA;NA;10;Culicidae;Oc_impiger;12;Likely number of hours
27;Lure+CO2;20240807;220;NA;NA;10;Simuliidae;S_vittatum;22;Likely number of hours
28;Lure+CO2;20240807;220;NA;NA;10;Simuliidae;S_rostratum;32;Likely number of hours
29;Lure+CO2;20240807;220;NA;NA;10;Culicidae;Oc_nigripes;22;Likely number of hours
30;Lure+CO2;20240807;220;NA;NA;10;Culicidae;Oc_impiger;49;Likely number of hours
31;Lure;20240821;234;11:15;21:45;10.5;Simuliidae;S_rostratum;4;
32;Lure;20240821;234;11:15;21:45;10.5;Culicidae;Oc_impiger;4;
33;CO2;20240813;226;10:30;20:15;9.75;Culicidae;Oc_impiger;7;
34;CO2;20240813;226;10:30;20:15;9.75;Culicidae;Oc_nigripes;4;
35;CO2;20240813;226;10:30;20:15;9.75;Simuliidae;S_rostratum;38;
36;CO2;20240813;226;10:30;20:15;9.75;Simuliidae;S_vittatum;2;
37;Lure;20240813;226;10:30;20:15;9.75;Culicidae;Oc_impiger;2;
38;Lure;20240813;226;10:30;20:15;9.75;Simuliidae;S_vittatum;2;
39;Lure;20240813;226;10:30;20:15;9.75;Simuliidae;S_rostratum;34;
40;Lure+CO2;20240813;226;10:30;20:15;9.75;Simuliidae;S_vittatum;12;
41;Lure+CO2;20240813;226;10:30;20:15;9.75;Simuliidae;S_rostratum;150;
42;Lure+CO2;20240813;226;10:30;20:15;9.75;Culicidae;Oc_impiger;31;
43;Lure+CO2;20240813;226;10:30;20:15;9.75;Culicidae;Oc_nigripes;43;
44;Control;20240813;226;10:30;20:15;9.75;NA;NA;0;Nothing caught
45;CO2;20240716;198;12:30;22:30;10;Simuliidae;S_vittatum;24;
46;CO2;20240716;198;12:30;22:30;10;Culicidae;Oc_nigripes;1;
47;CO2;20240716;198;12:30;22:30;10;Culicidae;Oc_impiger;75;
48;Lure+CO2;20240801;214;13:00;22:00;9;Culicidae;Oc_nigripes;53;
49;Lure+CO2;20240801;214;13:00;22:00;9;Culicidae;Oc_impiger;113;
50;Lure+CO2;20240801;214;13:00;22:00;9;Simuliidae;S_rostratum;7;
51;Lure+CO2;20240801;214;13:00;22:00;9;Simuliidae;S_vittatum;28;
52;Lure+CO2;20240716;198;12:30;22:30;10;Culicidae;Oc_impiger;453;
53;Lure+CO2;20240716;198;12:30;22:30;10;Culicidae;Oc_nigripes;103;
54;Lure+CO2;20240716;198;12:30;22:30;10;Simuliidae;S_vittatum;194;
55;Lure;20240801;214;NA;NA;NA;NA;NA;NA;Powerbank_failure
56;CO2;20240821;214;NA;NA;NA;NA;NA;NA;Powerbank_failure
57;CO2;20240801;214;NA;NA;NA;NA;NA;NA;Powerbank_failure
